cluster	name	n_cells	rpm
1	Abcc9	1275	0.09111349160293505
1	Adarb2	1275	17.402676896160596
1	C1qa	1275	3.006745222896857
1	Calb2	1275	31.251927619806725
1	Ccdc153	1275	0.1822269832058701
1	Cck	1275	73.98415518158326
1	Col1a1	1275	0.09111349160293505
1	Dcn	1275	1.2755888824410908
1	Gad1	1275	179.8580324241938
1	Gad2	1275	325.457392005684
1	Htr3a	1275	0.09111349160293505
1	Mfge8	1275	1.9133833236616362
1	Mobp	1275	3.4623126809115323
1	Npy	1275	683.0778465472041
1	Parvb	1275	9.56691661830818
1	Pdgfra	1275	0.3644539664117402
1	Pvalb	1275	24.053961783174856
1	Reln	1275	654.3770966922796
1	Slc17a6	1275	0.7289079328234804
1	Sst	1275	1623.3690798894938
1	Vip	1275	8.564668210675896
1	mt-Nd2	1275	45.01006485184992
2	Abcc9	1063	1.1499349009075541
2	Adarb2	1063	4969.890871177904
2	C1qa	1063	2.2998698018151083
2	Calb2	1063	0.3833116336358514
2	Ccdc153	1063	0.5110821781811352
2	Cck	1063	156.9022287016085
2	Col1a1	1063	0.3833116336358514
2	Dcn	1063	0.5110821781811352
2	Gad1	1063	675.3950984663702
2	Gad2	1063	991.2438845823117
2	Htr3a	1063	3.4498047027226626
2	Mfge8	1063	1.7887876236339733
2	Mobp	1063	4.34419851453965
2	Npy	1063	2480.4095812575943
2	Parvb	1063	1.1499349009075541
2	Pdgfra	1063	1.6610170790886893
2	Pvalb	1063	8.43285593998873
2	Reln	1063	740.4303056399197
2	Slc17a6	1063	0.2555410890905676
2	Sst	1063	28.87614306723414
2	Vip	1063	11.11603737543969
2	mt-Nd2	1063	47.01956039266444
3	Abcc9	939	0.12690281249627222
3	Adarb2	939	40.60889999880711
3	C1qa	939	4.060889999880711
3	Calb2	939	3.4263759373993503
3	Ccdc153	939	0.12690281249627222
3	Cck	939	74.11124249782299
3	Col1a1	939	0.5076112499850889
3	Dcn	939	0.12690281249627222
3	Gad1	939	151.90266655803785
3	Gad2	939	320.04889311559856
3	Htr3a	939	0.38070843748881666
3	Mfge8	939	3.5532787498956226
3	Mobp	939	5.076112499850889
3	Npy	939	336.8000643651065
3	Parvb	939	11.801961562153318
3	Pdgfra	939	2.9187646874142614
3	Pvalb	939	12.055767187145863
3	Reln	939	855.5787618498674
3	Slc17a6	939	0.5076112499850889
3	Sst	939	1614.9651918275604
3	Vip	939	19.28922749943338
3	mt-Nd2	939	48.34997156107972
4	Abcc9	898	0.3206420707834472
4	Adarb2	898	69.57932936000805
4	C1qa	898	2.1376138052229816
4	Calb2	898	0.21376138052229815
4	Ccdc153	898	0.10688069026114908
4	Cck	898	102.71234334096425
4	Col1a1	898	0
4	Dcn	898	0.21376138052229815
4	Gad1	898	398.23745191304147
4	Gad2	898	199.43936802730417
4	Htr3a	898	0.10688069026114908
4	Mfge8	898	2.672017256528727
4	Mobp	898	2.4582558760064286
4	Npy	898	80.5880404569064
4	Parvb	898	4.59586968122941
4	Pdgfra	898	1.389448973394938
4	Pvalb	898	221.02926746005627
4	Reln	898	41.79034989210929
4	Slc17a6	898	0.5344034513057454
4	Sst	898	20.093569769096025
4	Vip	898	18.16971734439534
4	mt-Nd2	898	41.89723058237043
5	Abcc9	797	0.22228159610633774
5	Adarb2	797	24.45097557169715
5	C1qa	797	2.2228159610633775
5	Calb2	797	0.4445631922126755
5	Ccdc153	797	0.22228159610633774
5	Cck	797	76.46486906058018
5	Col1a1	797	0.22228159610633774
5	Dcn	797	0.3334223941595066
5	Gad1	797	496.13252250934585
5	Gad2	797	208.61127794579798
5	Htr3a	797	0.11114079805316887
5	Mfge8	797	2.4450975571697153
5	Mobp	797	2.333956759116546
5	Npy	797	29.785733878249257
5	Parvb	797	7.557574267615483
5	Pdgfra	797	0.7779855863721821
5	Pvalb	797	278.5188399212412
5	Reln	797	2.556238355222884
5	Slc17a6	797	0.4445631922126755
5	Sst	797	16.7822605060285
5	Vip	797	11.114079805316887
5	mt-Nd2	797	53.45872386357423
6	Abcc9	688	0.6443471265500978
6	Adarb2	688	20.29693448632808
6	C1qa	688	4.510429885850685
6	Calb2	688	0
6	Ccdc153	688	0
6	Cck	688	167.20807933975038
6	Col1a1	688	0
6	Dcn	688	0.3221735632750489
6	Gad1	688	356.00178741892904
6	Gad2	688	155.60983106184864
6	Htr3a	688	0.3221735632750489
6	Mfge8	688	2.2552149429253423
6	Mobp	688	5.154777012400783
6	Npy	688	57.024720699683655
6	Parvb	688	8.376512645151271
6	Pdgfra	688	0.6443471265500978
6	Pvalb	688	299.9435874090705
6	Reln	688	47.68168736470724
6	Slc17a6	688	0.9665206898251467
6	Sst	688	32.86170345405499
6	Vip	688	22.229975865978375
6	mt-Nd2	688	63.46819196518464
7	Abcc9	637	0
7	Adarb2	637	13295.72818299554
7	C1qa	637	5.630835781642813
7	Calb2	637	61.60796796385666
7	Ccdc153	637	0
7	Cck	637	376.27232046742563
7	Col1a1	637	0
7	Dcn	637	0
7	Gad1	637	456.7601495814964
7	Gad2	637	354.08020297506863
7	Htr3a	637	69.88860881921374
7	Mfge8	637	5.630835781642813
7	Mobp	637	2.981030707928548
7	Npy	637	414.3632684020682
7	Parvb	637	5.29961014742853
7	Pdgfra	637	5.29961014742853
7	Pvalb	637	11.592897197499909
7	Reln	637	11.924122831714191
7	Slc17a6	637	0
7	Sst	637	33.453789055642595
7	Vip	637	6756.0092610687325
7	mt-Nd2	637	57.96448598749954
8	Abcc9	606	0.34724525133437667
8	Adarb2	606	32.46743099976422
