h5_num	sample	tx	weeks	celltype	subtype	n_cells	total_umis	prnp_umis	malat1_umis	rnaseh1_umis	subtype_fct	txc	prnp_rpm	total_umis_pseudocount	fit_resid	color	x	y	point_estimate	model
1	pbs0_03wk_th_02	pbs0	3	glia	astrocyte	1822	4969248	5539	699804	45	astrocyte	_ctl	1114.65557766487	4969248	0.10761119777485177	#A9A9A9	3	7	1.1136146853369508	3-aso6
1	pbs0_03wk_th_02	pbs0	3	glia	microglia	231	427654	88	29518	2	microglia	_ctl	205.7738265046042	427654	0.13924391148431164	#A9A9A9	6	4	1.1494044187535868	3-aso6
1	pbs0_03wk_th_02	pbs0	3	glia	oligodendrocyte	1955	4748582	1667	555418	74	oligodendrocyte	_ctl	351.0521667310368	4748582	0.050360608570473656	#A9A9A9	4	6	1.0516502621043653	3-aso6
1	pbs0_03wk_th_02	pbs0	3	glia	OPC	366	1274826	295	118799	9	OPC	_ctl	231.4041288771958	1274826	0.053131626671224765	#A9A9A9	5	5	1.0545684453182873	3-aso6
1	pbs0_03wk_th_02	pbs0	3	neuron	excitatory	7098	73436354	21072	5456766	647	excitatory	_ctl	286.94235010632474	73436354	0.36663584917744035	#A9A9A9	1	9	1.442872400265519	3-aso6
1	pbs0_03wk_th_02	pbs0	3	neuron	inhibitory	1481	9021517	2455	567504	73	inhibitory	_ctl	272.1271821579453	9021517	0.10416077850732712	#A9A9A9	2	8	1.1097788691626571	3-aso6
1	pbs0_03wk_th_02	pbs0	3	other	endothelial stalk	180	580340	174	46668	5	endothelial stalk	_ctl	299.82424096219455	580340	0.1403092759953039	#A9A9A9	7	3	1.150629605949701	3-aso6
1	pbs0_03wk_th_02	pbs0	3	other	ependymal	38	191504	100	13587	0	ependymal	_ctl	522.1823042860724	191504	0.06415058556489102	#A9A9A9	9	1	1.0662529489755677	3-aso6
1	pbs0_03wk_th_02	pbs0	3	other	pericyte	110	186547	26	25138	3	pericyte	_ctl	139.37506365688003	186547	0.12312400464293628	#A9A9A9	8	2	1.1310246645615611	3-aso6
2	pbs0_03wk_th_21	pbs0	3	glia	astrocyte	996	3056933	3626	584195	28	astrocyte	_ctl	1186.156189880511	3056933	0.1786599417318938	#A9A9A9	3	7	1.1956140965708602	3-aso6
2	pbs0_03wk_th_21	pbs0	3	glia	microglia	141	257613	45	21825	1	microglia	_ctl	174.6806255895471	257613	-0.03290013828503303	#A9A9A9	6	4	0.9676351844733723	3-aso6
2	pbs0_03wk_th_21	pbs0	3	glia	oligodendrocyte	1138	2873968	996	407943	55	oligodendrocyte	_ctl	346.5591822873463	2873968	0.036917438803090806	#A9A9A9	4	6	1.037607351196875	3-aso6
2	pbs0_03wk_th_21	pbs0	3	glia	OPC	228	861532	205	95586	4	OPC	_ctl	237.94821318302743	861532	0.08291407776020841	#A9A9A9	5	5	1.0864484544530744	3-aso6
2	pbs0_03wk_th_21	pbs0	3	neuron	excitatory	4389	58807185	12285	5589319	459	excitatory	_ctl	208.90304475550053	58807185	-0.005046170914128847	#A9A9A9	1	9	0.9949665396174926	3-aso6
2	pbs0_03wk_th_21	pbs0	3	neuron	inhibitory	40	233818	65	23751	4	inhibitory	_ctl	277.99399532970085	233818	0.12796547507498715	#A9A9A9	2	8	1.13651376396723	3-aso6
2	pbs0_03wk_th_21	pbs0	3	other	endothelial stalk	120	443942	131	44121	3	endothelial stalk	_ctl	295.0835920007569	443942	0.12227935964291971	#A9A9A9	7	3	1.130069753570912	3-aso6
2	pbs0_03wk_th_21	pbs0	3	other	ependymal	1	6227	2	338	0	ependymal	_ctl	321.18194957443393	6227	-0.3454662157121601	#A9A9A9	9	1	0.7078902469677395	3-aso6
2	pbs0_03wk_th_21	pbs0	3	other	pericyte	66	118156	17	19770	0	pericyte	_ctl	143.87758556484647	118156	0.15940661003579984	#A9A9A9	8	2	1.172814727980649	3-aso6
3	pbs0_03wk_th_61	pbs0	3	glia	astrocyte	998	2753735	2888	517937	27	astrocyte	_ctl	1048.757414929178	2753735	0.042129497040216415	#A9A9A9	3	7	1.0430295392437978	3-aso6
3	pbs0_03wk_th_61	pbs0	3	glia	microglia	144	236269	50	21566	3	microglia	_ctl	211.62319220888057	236269	0.1716282743444402	#A9A9A9	6	4	1.1872364249392335	3-aso6
3	pbs0_03wk_th_61	pbs0	3	glia	oligodendrocyte	1493	3703509	1360	519114	63	oligodendrocyte	_ctl	367.21930471884906	3703509	0.09873326228131507	#A9A9A9	4	6	1.103771842705981	3-aso6
3	pbs0_03wk_th_61	pbs0	3	glia	OPC	217	641103	138	73324	6	OPC	_ctl	215.25402314448692	641103	-0.020368302667660158	#A9A9A9	5	5	0.9798377299928123	3-aso6
3	pbs0_03wk_th_61	pbs0	3	neuron	excitatory	4348	45520492	9008	4675060	379	excitatory	_ctl	197.8888980373938	45520492	-0.057503843152079244	#A9A9A9	1	9	0.9441182619893883	3-aso6
3	pbs0_03wk_th_61	pbs0	3	neuron	inhibitory	526	3651547	987	320866	39	inhibitory	_ctl	270.2963976637847	3651547	0.09673233855391344	#A9A9A9	2	8	1.1015654875465988	3-aso6
3	pbs0_03wk_th_61	pbs0	3	other	endothelial stalk	102	258041	71	27284	1	endothelial stalk	_ctl	275.1500730504067	258041	0.046467022090205375	#A9A9A9	7	3	1.0475635320432288	3-aso6
3	pbs0_03wk_th_61	pbs0	3	other	pericyte	57	89450	14	15919	1	pericyte	_ctl	156.51201788708775	89450	0.2612184682967533	#A9A9A9	8	2	1.298511318003974	3-aso6
4	pbs0_03wk_th_62	pbs0	3	glia	astrocyte	1082	3690969	2495	660926	26	astrocyte	_ctl	675.9742495805302	3690969	-0.3282977600925323	#A9A9A9	3	7	0.7201485562768067	3-aso6
4	pbs0_03wk_th_62	pbs0	3	glia	microglia	194	349042	46	28945	5	microglia	_ctl	131.789297563044	349042	-0.27036320703239297	#A9A9A9	6	4	0.7631022798822926	3-aso6
4	pbs0_03wk_th_62	pbs0	3	glia	oligodendrocyte	1525	3939758	1072	552636	53	oligodendrocyte	_ctl	272.09793088814087	3939758	-0.18587328219681834	#A9A9A9	4	6	0.8303788120942284	3-aso6
4	pbs0_03wk_th_62	pbs0	3	glia	OPC	235	963409	187	99994	11	OPC	_ctl	194.10240095328152	963409	-0.11663038058754331	#A9A9A9	5	5	0.889914061894228	3-aso6
4	pbs0_03wk_th_62	pbs0	3	neuron	excitatory	4270	60290282	8808	5772388	448	excitatory	_ctl	146.09319624678486	60290282	-0.30419403326908673	#A9A9A9	1	9	0.7377177107834728	3-aso6
4	pbs0_03wk_th_62	pbs0	3	neuron	inhibitory	100	924220	155	82025	6	inhibitory	_ctl	167.7089870377183	924220	-0.31951786579422603	#A9A9A9	2	8	0.7264992227744228	3-aso6
4	pbs0_03wk_th_62	pbs0	3	other	endothelial stalk	89	242352	42	24483	1	endothelial stalk	_ctl	173.3016438898792	242352	-0.3408889440070922	#A9A9A9	7	3	0.7111378799445378	3-aso6
4	pbs0_03wk_th_62	pbs0	3	other	pericyte	79	141794	9	26405	3	pericyte	_ctl	63.472361312890534	141794	-0.48852161389948917	#A9A9A9	8	2	0.6135327623463489	3-aso6
5	aso6_03wk_th_42	aso6	3	glia	astrocyte	1165	3089883	1872	630865	17	astrocyte	aso6	605.8481826010888	3089883	0.41376504357422583	#41B6C4	3	7	0.6440640960465804	3-aso6
5	aso6_03wk_th_42	aso6	3	glia	microglia	130	234946	26	22777	1	microglia	aso6	110.66372698407294	234946	0.7893547188716419	#41B6C4	6	4	0.7539591754204893	3-aso6
5	aso6_03wk_th_42	aso6	3	glia	oligodendrocyte	926	2140973	266	336568	36	oligodendrocyte	aso6	124.24257568871724	2140973	-0.023216615865888638	#41B6C4	4	6	0.3718399971258153	3-aso6
5	aso6_03wk_th_42	aso6	3	glia	OPC	227	782555	81	93763	7	OPC	aso6	103.50710173725808	782555	0.31741532655687493	#41B6C4	5	5	0.49114611491313787	3-aso6
5	aso6_03wk_th_42	aso6	3	neuron	excitatory	4102	47594529	6727	4479596	320	excitatory	aso6	141.33977457787216	47594529	0.31102383232440284	#41B6C4	1	9	0.7007900061253819	3-aso6
5	aso6_03wk_th_42	aso6	3	neuron	inhibitory	327	1952767	469	167960	25	inhibitory	aso6	240.17202257104918	1952767	0.7773697662724771	#41B6C4	2	8	1.1929230180154322	3-aso6
5	aso6_03wk_th_42	aso6	3	other	endothelial stalk	114	351953	79	33613	3	endothelial stalk	aso6	224.4617889320449	351953	0.3473896871736612	#41B6C4	7	3	0.8967565126046511	3-aso6
5	aso6_03wk_th_42	aso6	3	other	ependymal	27	107702	46	10123	1	ependymal	aso6	427.1044177452601	107702	0.9126300019888228	#41B6C4	9	1	1.1335331133633404	3-aso6
5	aso6_03wk_th_42	aso6	3	other	pericyte	69	108481	13	17168	1	pericyte	aso6	119.8366534231801	108481	0.47522670119732796	#41B6C4	8	2	1.0528387787868627	3-aso6
6	aso6_03wk_th_63	aso6	3	glia	astrocyte	775	2803178	1075	418139	31	astrocyte	aso6	383.4933065256648	2803178	-0.10510677958464039	#41B6C4	3	7	0.3833415725303136	3-aso6
6	aso6_03wk_th_63	aso6	3	glia	microglia	85	167968	3	11181	1	microglia	aso6	17.860544865688702	167968	-0.7112075373926424	#41B6C4	6	4	0.1681364691922441	3-aso6
6	aso6_03wk_th_63	aso6	3	glia	oligodendrocyte	1436	3963853	501	519358	55	oligodendrocyte	aso6	126.39217448275706	3963853	-0.006316673370866131	#41B6C4	4	6	0.37817747234250687	3-aso6
6	aso6_03wk_th_63	aso6	3	glia	OPC	162	640229	43	55227	9	OPC	aso6	67.16346807158064	640229	-0.14515834433451336	#41B6C4	5	5	0.3092555627591286	3-aso6
6	aso6_03wk_th_63	aso6	3	neuron	excitatory	2637	40059718	4045	2887655	301	excitatory	aso6	100.97425049272688	40059718	-0.06339422683793962	#41B6C4	1	9	0.4819258286267326	3-aso6
6	aso6_03wk_th_63	aso6	3	neuron	inhibitory	877	7740150	695	721701	63	inhibitory	aso6	89.79154150759352	7740150	-0.33550640314325	#41B6C4	2	8	0.3920093621467261	3-aso6
6	aso6_03wk_th_63	aso6	3	other	endothelial stalk	79	220456	39	18567	2	endothelial stalk	aso6	176.90604927967485	220456	0.06192411426531324	#41B6C4	7	3	0.6740597830935128	3-aso6
6	aso6_03wk_th_63	aso6	3	other	ependymal	215	1339052	214	97470	7	ependymal	aso6	159.81455537200947	1339052	-0.2843293099784338	#41B6C4	9	1	0.3424533249615298	3-aso6
6	aso6_03wk_th_63	aso6	3	other	pericyte	86	201991	12	29900	0	pericyte	aso6	59.40858751132476	201991	-0.26866169845684323	#41B6C4	8	2	0.5003745881314382	3-aso6
7	aso6_03wk_th_65	aso6	3	glia	astrocyte	147	738570	215	66011	6	astrocyte	aso6	291.1030775688154	738570	-0.32070217100139853	#41B6C4	3	7	0.3089968351458288	3-aso6
7	aso6_03wk_th_65	aso6	3	glia	microglia	11	45536	1	2358	0	microglia	aso6	21.960646521433592	45536	-0.6449117741330471	#41B6C4	6	4	0.17966099778620986	3-aso6
7	aso6_03wk_th_65	aso6	3	glia	oligodendrocyte	1140	8982390	1175	402153	83	oligodendrocyte	aso6	130.81151007693944	8982390	0.028427725265276396	#41B6C4	4	6	0.391547950800278	3-aso6
7	aso6_03wk_th_65	aso6	3	glia	OPC	35	241560	14	11133	2	OPC	aso6	57.956615333664516	241560	-0.26234111443150265	#41B6C4	5	5	0.2750588923990589	3-aso6
7	aso6_03wk_th_65	aso6	3	neuron	excitatory	3925	36161201	2932	1441514	266	excitatory	aso6	81.08137780047737	36161201	-0.24791433287904166	#41B6C4	1	9	0.4007228790239978	3-aso6
7	aso6_03wk_th_65	aso6	3	neuron	inhibitory	115	1825445	141	76411	17	inhibitory	aso6	77.24143975852463	1825445	-0.42838221429581486	#41B6C4	2	8	0.35724074540503675	3-aso6
7	aso6_03wk_th_65	aso6	3	other	endothelial stalk	75	333998	33	17247	5	endothelial stalk	aso6	98.8029868442326	333998	-0.40690962961104493	#41B6C4	7	3	0.4217805107634934	3-aso6
7	aso6_03wk_th_65	aso6	3	other	ependymal	16	107900	13	4201	1	ependymal	aso6	120.48192771084338	107900	-0.4604660123776842	#41B6C4	9	1	0.2871482602270297	3-aso6
7	aso6_03wk_th_65	aso6	3	other	pericyte	20	57514	4	4490	0	pericyte	aso6	69.54828389609486	57514	-0.14383886319270783	#41B6C4	8	2	0.5668982472196183	3-aso6
