h5_num	sample	tx	weeks	celltype	subtype	n_cells	total_umis	prnp_umis	malat1_umis	rnaseh1_umis	subtype_fct	txc	prnp_rpm	total_umis_pseudocount	fit_resid	color	x	y	point_estimate	model
3	aso1_02wk_ss_b1	aso1	2	other	pericyte	44	120326	5	17539	3	pericyte	aso1	41.55377890065323	120326	0.1635549636066244	#0909FF	8	2	0.43025173654036614	2-aso1
9	pbs0_02wk_ss_a2	pbs0	2	glia	astrocyte	429	2741619	1136	399897	30	astrocyte	_ctl	414.3537085204035	2741619	-0.31269902987616927	#A9A9A9	3	7	0.731470030068353	2-aso1
9	pbs0_02wk_ss_a2	pbs0	2	glia	microglia	155	768952	78	59782	10	microglia	_ctl	101.43676068207118	768952	-0.2421993752946614	#A9A9A9	6	4	0.7848996723472584	2-aso1
9	pbs0_02wk_ss_a2	pbs0	2	glia	oligodendrocyte	183	691659	163	92876	16	oligodendrocyte	_ctl	235.665262795684	691659	-0.2503738822619554	#A9A9A9	4	6	0.778509657699715	2-aso1
9	pbs0_02wk_ss_a2	pbs0	2	glia	OPC	86	550481	57	39600	10	OPC	_ctl	103.54580812053459	550481	-0.3813590650292044	#A9A9A9	5	5	0.6829326283660162	2-aso1
9	pbs0_02wk_ss_a2	pbs0	2	neuron	excitatory	3901	71026048	7480	7584718	1013	excitatory	_ctl	105.31347597996724	71026048	-0.32173011984885147	#A9A9A9	1	9	0.7248937983812241	2-aso1
9	pbs0_02wk_ss_a2	pbs0	2	neuron	inhibitory	550	8485922	636	698225	128	inhibitory	_ctl	74.9476603720845	8485922	-0.25888599391089917	#A9A9A9	2	8	0.7719110205840711	2-aso1
9	pbs0_02wk_ss_a2	pbs0	2	other	endothelial stalk	117	597614	119	45141	9	endothelial stalk	_ctl	199.12518783027173	597614	0.049698666629866016	#A9A9A9	7	3	1.0509543610374887	2-aso1
9	pbs0_02wk_ss_a2	pbs0	2	other	fibroblast	8	29450	2	3475	1	fibroblast	_ctl	67.91171477079796	29450	-0.46733431540258236	#A9A9A9	9	1	0.6266705497708636	2-aso1
9	pbs0_02wk_ss_a2	pbs0	2	other	pericyte	51	126026	5	16198	2	pericyte	_ctl	39.67435291130402	126026	-0.5941385110243771	#A9A9A9	8	2	0.5520379356712135	2-aso1
10	aso1_02wk_ss_b2	aso1	2	glia	astrocyte	713	3899407	893	492358	70	astrocyte	aso1	229.0091801137968	3899407	0.11733479913371572	#0909FF	3	7	0.3822989889515627	2-aso1
10	aso1_02wk_ss_b2	aso1	2	glia	microglia	205	1069954	61	88343	15	microglia	aso1	57.01179676883305	1069954	0.0811167346429888	#0909FF	6	4	0.42724823356664554	2-aso1
10	aso1_02wk_ss_b2	aso1	2	glia	oligodendrocyte	258	847857	52	106283	16	oligodendrocyte	aso1	61.33109710717727	847857	0.22178796813039167	#0909FF	4	6	0.1993220373832394	2-aso1
10	aso1_02wk_ss_b2	aso1	2	glia	OPC	114	616036	33	41682	10	OPC	aso1	53.56829795661292	616036	-0.0026651879267722456	#0909FF	5	5	0.32004829980843463	2-aso1
10	aso1_02wk_ss_b2	aso1	2	neuron	excitatory	5401	90736546	6852	9115414	1043	excitatory	aso1	75.51532763876641	90736546	-0.004807454048820798	#0909FF	1	9	0.4863609860333679	2-aso1
10	aso1_02wk_ss_b2	aso1	2	neuron	inhibitory	824	11120547	498	820309	113	inhibitory	aso1	44.781969807780136	11120547	-0.059408028163251476	#0909FF	2	8	0.44363753875627615	2-aso1
10	aso1_02wk_ss_b2	aso1	2	other	endothelial stalk	161	775657	82	59107	7	endothelial stalk	aso1	105.71683102195945	775657	0.03201427702277718	#0909FF	7	3	0.5575714162998038	2-aso1
10	aso1_02wk_ss_b2	aso1	2	other	fibroblast	167	625028	48	69241	10	fibroblast	aso1	76.79655951413376	625028	0.06272948697596858	#0909FF	9	1	0.6034928460848726	2-aso1
10	aso1_02wk_ss_b2	aso1	2	other	pericyte	67	137086	3	19096	3	pericyte	aso1	21.884072771836657	137086	-0.3872200754959777	#0909FF	8	2	0.24804134155738827	2-aso1
11	aso1_02wk_ss_b4	aso1	2	glia	astrocyte	584	3059818	376	419035	26	astrocyte	aso1	122.883125728393	3059818	-0.4004537611355546	#0909FF	3	7	0.2277877867779725	2-aso1
11	aso1_02wk_ss_b4	aso1	2	glia	microglia	134	549631	13	42184	5	microglia	aso1	23.652232133922578	549631	-0.5514818788236598	#0909FF	6	4	0.22695836217046497	2-aso1
11	aso1_02wk_ss_b4	aso1	2	glia	oligodendrocyte	137	437747	9	58236	18	oligodendrocyte	aso1	20.55982108386808	437747	-0.5904240554626587	#0909FF	4	6	0.08847409271177589	2-aso1
11	aso1_02wk_ss_b4	aso1	2	glia	OPC	96	487896	10	31812	6	OPC	aso1	20.49617131519832	487896	-0.6184021903510839	#0909FF	5	5	0.1729037219186121	2-aso1
11	aso1_02wk_ss_b4	aso1	2	neuron	excitatory	5228	76792874	3241	7497410	773	excitatory	aso1	42.204436833553075	76792874	-0.44380111619541446	#0909FF	1	9	0.31354956688240365	2-aso1
11	aso1_02wk_ss_b4	aso1	2	neuron	inhibitory	696	9113951	235	723125	91	inhibitory	aso1	25.784645978456545	9113951	-0.4584242026849077	#0909FF	2	8	0.29767184853809175	2-aso1
11	aso1_02wk_ss_b4	aso1	2	other	endothelial stalk	120	480294	32	41532	4	endothelial stalk	aso1	66.6258583284405	480294	-0.3495942287603666	#0909FF	7	3	0.38068874170429745	2-aso1
11	aso1_02wk_ss_b4	aso1	2	other	fibroblast	142	684748	39	78881	9	fibroblast	aso1	56.95525945311268	684748	-0.211839253709668	#0909FF	9	1	0.458594072777576	2-aso1
11	aso1_02wk_ss_b4	aso1	2	other	pericyte	38	87604	3	11049	0	pericyte	aso1	34.24501164330396	87604	-0.04109916521439241	#0909FF	8	2	0.35062467255318797	2-aso1
16	pbs0_02wk_ss_a3	pbs0	2	glia	astrocyte	310	1268753	672	196468	16	astrocyte	_ctl	529.6539200301398	1268753	-0.12144709802041104	#A9A9A9	3	7	0.8856379041079339	2-aso1
16	pbs0_02wk_ss_a3	pbs0	2	glia	microglia	76	379934	43	44041	5	microglia	_ctl	113.17755189059153	379934	-0.15448779171760224	#A9A9A9	6	4	0.8568539527932727	2-aso1
16	pbs0_02wk_ss_a3	pbs0	2	glia	oligodendrocyte	149	355910	102	53517	5	oligodendrocyte	_ctl	286.58930628529686	355910	-0.08838992006156152	#A9A9A9	4	6	0.9154038727919187	2-aso1
16	pbs0_02wk_ss_a3	pbs0	2	glia	OPC	57	234043	37	18609	4	OPC	_ctl	158.0906072815679	234043	-0.055477736144350524	#A9A9A9	5	5	0.9460330857800333	2-aso1
16	pbs0_02wk_ss_a3	pbs0	2	neuron	excitatory	5720	63320907	7544	8999074	793	excitatory	_ctl	119.13916520494566	63320907	-0.23268597344334477	#A9A9A9	1	9	0.7924023698456315	2-aso1
16	pbs0_02wk_ss_a3	pbs0	2	neuron	inhibitory	814	7396148	693	751982	96	inhibitory	_ctl	93.69742195532052	7396148	-0.07348046088717329	#A9A9A9	2	8	0.9291543004648658	2-aso1
16	pbs0_02wk_ss_a3	pbs0	2	other	endothelial stalk	89	346628	51	33610	8	endothelial stalk	_ctl	147.13179546949468	346628	-0.22438717469117922	#A9A9A9	7	3	0.7990057196816941	2-aso1
16	pbs0_02wk_ss_a3	pbs0	2	other	fibroblast	30	109247	16	13640	3	fibroblast	_ctl	146.4571109504151	109247	0.1487366727795864	#A9A9A9	9	1	1.1603673926547395	2-aso1
