cluster	name	n_cells	rpm
1	Cux2	8572	5.842577500535303
1	Foxp2	8572	507.58913540457877
1	Kcnk2	8572	141.9563752083187
1	Rasgrf2	8572	6.1773085031701385
1	Rorb	8572	13.115369285055811
1	Slc17a7	8572	405.9678460137577
1	Sulf2	8572	53.389594920256194
2	Cux2	7008	15.905771947285032
2	Foxp2	7008	17.08583711148771
2	Kcnk2	7008	92.55979208155686
2	Rasgrf2	7008	55.927556452371604
2	Rorb	7008	99.92892241546082
2	Slc17a7	7008	380.1818450288713
2	Sulf2	7008	145.83847885683522
3	Cux2	6735	365.75415644862136
3	Foxp2	6735	4.787675939284775
3	Kcnk2	6735	83.99248876093073
3	Rasgrf2	6735	145.67718310910703
3	Rorb	6735	805.0928104858152
3	Slc17a7	6735	340.7402843310538
3	Sulf2	6735	22.828193971372336
4	Cux2	6652	415.9970602011795
4	Foxp2	6652	6.591696132769065
4	Kcnk2	6652	9.753268907560154
4	Rasgrf2	6652	334.84595669997816
4	Rorb	6652	84.41033103351496
4	Slc17a7	6652	279.6466050103824
4	Sulf2	6652	25.011824770451508
5	Cux2	5635	14.211376990996936
5	Foxp2	5635	12.609113898874732
5	Kcnk2	5635	16.649603435530725
5	Rasgrf2	5635	51.77748013999251
5	Rorb	5635	26.48958872954208
5	Slc17a7	5635	398.4932805526972
5	Sulf2	5635	30.025017074116075
6	Cux2	4226	121.99699309625875
6	Foxp2	4226	6.950803505957578
6	Kcnk2	4226	268.6104530940151
6	Rasgrf2	4226	92.18474284313173
6	Rorb	4226	401.36849082075963
6	Slc17a7	4226	351.3966011633105
6	Sulf2	4226	80.36144917186834
7	Cux2	3906	391.07936014126716
7	Foxp2	3906	5.910031207386919
7	Kcnk2	3906	11.044976354788668
7	Rasgrf2	3906	268.2282196336178
7	Rorb	3906	95.96534280191382
7	Slc17a7	3906	355.66761577569474
7	Sulf2	3906	20.927323619599584
8	Cux2	3655	361.16042774727026
8	Foxp2	3655	4.128834655186004
8	Kcnk2	3655	123.63983049256997
8	Rasgrf2	3655	120.71211137343808
8	Rorb	3655	987.0917614734685
8	Slc17a7	3655	424.6694117161314
8	Sulf2	3655	21.01952188094693
9	Cux2	3613	7.750094243991614
9	Foxp2	3613	95.69608810561567
9	Kcnk2	3613	11.566555340384893
9	Rasgrf2	3613	17.843629512084362
9	Rorb	3613	38.54960484646369
9	Slc17a7	3613	226.20901428359107
9	Sulf2	3613	138.53084225329286
10	Cux2	3166	399.58706428487767
10	Foxp2	3166	3.380785751318561
10	Kcnk2	3166	4.362304195249756
10	Rasgrf2	3166	328.80867871695034
10	Rorb	3166	7.088744317280853
10	Slc17a7	3166	307.65150336998903
10	Sulf2	3166	7.497710335585518
11	Cux2	2683	5.681960676129809
11	Foxp2	2683	477.8332998946682
11	Kcnk2	2683	132.05660330039626
11	Rasgrf2	2683	6.465679390078748
11	Rorb	2683	12.774615037367708
11	Slc17a7	2683	504.40136429753727
11	Sulf2	2683	57.485767668154686
12	Cux2	1976	10.899655326205552
12	Foxp2	1976	115.44736967960574
12	Kcnk2	1976	328.84334266477293
12	Rasgrf2	1976	65.39793195723331
12	Rorb	1976	41.522496480783055
12	Slc17a7	1976	275.3831284457648
12	Sulf2	1976	101.58182174762997
13	Cux2	1872	210.8787816609602
13	Foxp2	1872	8.673819418593332
13	Kcnk2	1872	121.93069717729607
13	Rasgrf2	1872	99.8870414574315
13	Rorb	1872	450.15465364776094
13	Slc17a7	1872	475.1264140121188
13	Sulf2	1872	55.79973001770232
14	Cux2	974	11.60922157785284
14	Foxp2	974	75.56359402013143
14	Kcnk2	974	131.9512416839881
14	Rasgrf2	974	9.743453824269347
14	Rorb	974	14.615180736404021
14	Slc17a7	974	423.7365875916286
14	Sulf2	974	87.58743065433616
15	Cux2	615	359.1317925334586
15	Foxp2	615	3.6140732010448686
15	Kcnk2	615	5.488037083068134
15	Rasgrf2	615	281.4961459924948
15	Rorb	615	27.30633085233901
15	Slc17a7	615	382.0209228067428
15	Sulf2	615	15.52712930819277
