gene
GABRA6
PPP1R17
KLHL1
LYPD6
PRKCD
LGI2
EOMES
GDF10
AQP4
MOBP
PDGFRA
C1QA
MRC1
FLT1
ABCC9
DCN
PPFIBP1
KCNJ8
