assignments	celltype	color
excitatory	neuron	#fcdc3b
inhibitory	neuron	#ff9955
astrocyte	glia	#7fcdbb
oligodendrocyte	glia	#5eb9bd
OPC	glia	#1d91c0
microglia	glia	#60affe
endothelial stalk	other	#df65b0
fibroblast	other	#e7298a
pericyte	other	#ce1256
ependymal	other	#e7098a
