txc	subtype	residual_02wk	residual_12wk	recovery
aso1	microglia	0.3939596342544124	1.0956435064685248	0.7016838722141124
aso1	oligodendrocyte	0.1596739345645793	0.8549326810325372	0.6952587464679578
aso1	pericyte	0.36533528011086386	1.0308824455157262	0.6655471654048624
aso1	OPC	0.320902426371382	0.9531873686286708	0.6322849422572888
aso1	astrocyte	0.3399736779837481	0.8554596676601235	0.5154859896763754
aso1	endothelial stalk	0.5400038769628935	1.0190436012788608	0.4790397243159673
aso1	inhibitory	0.47079177409339656	0.8651936891584686	0.39440191506507205
aso1	fibroblast	0.5667989750176833	0.9424913527577604	0.37569237774007713
aso1	excitatory	0.48870477343592394	0.7737829465416989	0.28507817310577493
aso6	microglia	0.24427538565401508	0.7508564305157458	0.5065810448617307
aso6	OPC	0.3938545877897868	0.7082431775387883	0.31438858974900147
aso6	excitatory	0.3535485465457782	0.6460359144594406	0.2924873679136624
aso6	endothelial stalk	0.44496428254785614	0.7219626903212578	0.2769984077734017
aso6	pericyte	0.3875759781683249	0.594313536927724	0.20673755875939914
aso6	inhibitory	0.4034751831450013	0.5703964045096395	0.16692122136463816
aso6	astrocyte	0.446040337412467	0.604233341122315	0.15819300370984796
aso6	oligodendrocyte	0.2411637652574894	0.3633735968912787	0.12220983163378929
aso6	fibroblast	0.58210714010892	0.6916478138734099	0.10954067376448995
