species	region	treatment	weeks	celltype	subtype	residual	l95	u95	total_cells
mouse	cerebellum	Malat1 ASO	12	neuron	MLI	0.07435178000797214	0.05528723977885455	0.09999029093270498	2601
mouse	cerebellum	Malat1 ASO	12	glia	oligodendrocyte	0.1322609367689578	0.09834509031550594	0.177873194674815	1665
mouse	cerebellum	Malat1 ASO	12	glia	OPC	0.7610765081118751	0.5658005639875964	1.0237484514286614	193
mouse	cerebellum	Malat1 ASO	12	other	pericyte	0.47274762564955514	0.35141898711760083	0.6359654024115147	186
mouse	cerebellum	Malat1 ASO	12	neuron	PLI	0.1539535192029576	0.11442609654462886	0.20713531957049003	198
mouse	cerebellum	Malat1 ASO	12	neuron	Purkinje	0.16798204872105804	0.12492031907059276	0.22588774110141263	1197
mouse	cerebellum	Malat1 ASO	12	neuron	UBC	0.5286206684389246	0.3922726702018268	0.7123611516373086	278
mouse	cortex	ASO 1	2	glia	astrocyte	0.3399736779837481	0.23860623592491303	0.4844052012042542	3799
mouse	cortex	ASO 1	2	other	endothelial stalk	0.5400038769628935	0.3575137442971702	0.8156446899914723	693
mouse	cortex	ASO 1	2	neuron	excitatory	0.48870477343592394	0.34420472242800476	0.6938671668835483	41345
mouse	cortex	ASO 1	2	other	fibroblast	0.5667989750176833	0.346893144355165	0.9261096199473308	564
mouse	cortex	ASO 1	2	neuron	inhibitory	0.47079177409339656	0.3298744368114639	0.6719068524872889	5500
mouse	cortex	ASO 1	2	glia	microglia	0.3939596342544124	0.2557741916685188	0.6068016182923323	849
mouse	cortex	ASO 1	2	glia	oligodendrocyte	0.1596739345645793	0.10584771421364408	0.2408721394575669	1439
mouse	cortex	ASO 1	2	glia	OPC	0.320902426371382	0.20778139864566575	0.4956091734980162	579
mouse	cortex	ASO 1	2	other	pericyte	0.36533528011086386	0.17720279701151814	0.7532040641830718	308
mouse	cortex	ASO 1	12	glia	astrocyte	0.8554596676601235	0.6850458909457638	1.068266013511652	3787
mouse	cortex	ASO 1	12	other	endothelial stalk	1.0190436012788608	0.769336621478947	1.3497990766526995	705
mouse	cortex	ASO 1	12	neuron	excitatory	0.7737829465416989	0.6223164881744243	0.9621150326824336	38569
mouse	cortex	ASO 1	12	other	fibroblast	0.9424913527577604	0.672825333245488	1.3202385613786782	480
mouse	cortex	ASO 1	12	neuron	inhibitory	0.8651936891584686	0.6918405753398582	1.0819835471371706	5230
mouse	cortex	ASO 1	12	glia	microglia	1.0956435064685248	0.813332807260796	1.4759452496568524	1189
mouse	cortex	ASO 1	12	glia	oligodendrocyte	0.8549326810325372	0.6691646414861772	1.0922721312264378	2397
mouse	cortex	ASO 1	12	glia	OPC	0.9531873686286708	0.7242613279288633	1.2544728327707824	755
mouse	cortex	ASO 1	12	other	pericyte	1.0308824455157262	0.653379478782258	1.6264952466109523	372
mouse	cortex	ASO 6	2	glia	astrocyte	0.446040337412467	0.33432827710301194	0.5950797351721678	3310
mouse	cortex	ASO 6	2	other	endothelial stalk	0.44496428254785614	0.3023945488075626	0.6547512629578749	562
mouse	cortex	ASO 6	2	neuron	excitatory	0.3535485465457782	0.2664049567936884	0.4691976315644653	36491
