x	cluster	n_cells	cux2_rpm	rorb_rpm	sulf2_rpm	foxp2_rpm	prnp_residual	l95	u95
1	10	3166	399.58706428487767	7.088744317280853	7.497710335585518	3.380785751318561	0.6942412351808427	0.5323599063640483	0.8561225639976371
2	15	615	359.1317925334586	27.30633085233901	15.52712930819277	3.6140732010448686	0.5863227659068471	0.534297989435134	0.6383475423785602
3	4	6652	415.9970602011795	84.41033103351496	25.011824770451508	6.591696132769065	0.6940622782797466	0.527330849507911	0.8607937070515823
4	7	3906	391.0793601412672	95.96534280191382	20.927323619599584	5.910031207386919	0.6400130573264413	0.47252373110836005	0.8075023835445225
5	3	6735	365.75415644862136	805.0928104858152	22.828193971372336	4.787675939284775	0.613666391364101	0.4915836577543358	0.735749124973866
6	8	3655	361.16042774727026	987.0917614734684	21.01952188094693	4.128834655186004	0.5254692695565386	0.40560616513261893	0.6453323739804583
7	13	1872	210.8787816609602	450.15465364776094	55.79973001770232	8.673819418593332	0.5974318344986507	0.5080883927272024	0.6867752762700989
8	6	4226	121.99699309625876	401.3684908207596	80.36144917186834	6.950803505957578	0.6369029079996131	0.47501826997728747	0.7987875460219388
9	5	5635	14.211376990996936	26.48958872954208	30.025017074116075	12.609113898874732	0.549312095659894	0.41571490297687436	0.6829092883429138
10	2	7008	15.905771947285032	99.92892241546082	145.83847885683522	17.08583711148771	0.6615113115522078	0.5524218317000917	0.7706007914043238
11	9	3613	7.750094243991614	38.54960484646369	138.53084225329286	95.69608810561569	0.5833681297537592	0.5059839270631682	0.6607523324443502
12	14	974	11.60922157785284	14.61518073640402	87.58743065433616	75.56359402013143	0.5806833274878663	0.37385130199829353	0.7875153529774391
13	12	1976	10.899655326205552	41.522496480783055	101.58182174762996	115.44736967960574	0.5247534937096534	0.4301195195409848	0.619387467878322
14	11	2683	5.681960676129809	12.774615037367708	57.485767668154686	477.8332998946682	0.509256300761026	0.4141021679758041	0.6044104335462479
15	1	8572	5.842577500535303	13.115369285055811	53.389594920256194	507.5891354045788	0.5235962294324418	0.4093993146294618	0.6377931442354218
