tissue	treatment	residual	l95	u95
cortex	aCSF	1	0.9140967347295318	1.0859032652704683
cortex	ASO N	0.4099749742993323	0.27401511568055403	0.5459348329181105
cerebellum	aCSF	1	0.7347095004808604	1.2652904995191396
cerebellum	ASO N	0.8209257735892728	0.7169377359560253	0.9249138112225203
CSF	aCSF	1	0.7722641275745502	1.2277358724254497
CSF	ASO N	0.5979593146377462	0.27464104422816976	0.9212775850473227
