subtype	n_this_study	n_li2020	color
astrocyte	6985	124	#7fcdbb
endothelial stalk	759	0	#df65b0
ependymal	297	0	#e7098a
excitatory	30769	226	#fcdc3b
inhibitory	3466	868	#ff9955
microglia	936	28	#60affe
oligodendrocyte	9613	388	#5eb9bd
OPC	1470	23	#1d91c0
pericyte	487	0	#ce1256
