animal	sex	treatment	tissue	prp_ngml	prp_relative
m1	M	aCSF	cerebellum	101.146	0.6327339378376096
m1	M	aCSF	cortex	200.022	0.9231333700238488
m2	M	aCSF	cerebellum	156.086	0.9764193287062378
m2	M	aCSF	cortex	203.145	0.9375465121511373
m3	M	ASO N	cerebellum	123.508	0.7726227749436209
m3	M	ASO N	cortex	112.339	0.5184623674151301
m4	M	ASO N	cerebellum	135.447	0.8473089759188768
m4	M	ASO N	cortex	48.562	0.22412136022586587
f1	F	aCSF	cerebellum	201.219	1.2587555636183927
f1	F	aCSF	cortex	222.659	1.0276067284405723
f2	F	aCSF	cerebellum	180.971	1.1320911698377598
f2	F	aCSF	cortex	240.883	1.1117133893844415
f3	F	ASO N	cerebellum	152.725	0.9553940902877911
f3	F	ASO N	cortex	111.288	0.5136118351142078
f4	F	ASO N	cerebellum	113.238	0.7083772532068023
f4	F	ASO N	cortex	83.14	0.3837043344421253
m1	M	aCSF	CSF	3	0.7700699480202785
m2	M	aCSF	CSF	5.116	1.3132259513572482
m3	M	ASO N	CSF	3.498	0.8979015593916447
m4	M	ASO N	CSF	0.853	0.2189565552204325
f1	F	aCSF	CSF	3.973	1.019829301161522
f2	F	aCSF	CSF	3.494	0.89687479946095106
f3	F	ASO N	CSF	1.658	0.42559199127254055
f4	F	ASO N	CSF	3.309	0.8493871526663672
