aggr	species	treatment	weeks	region	animal_short	sc_prnp_rpm	sc_prnp_rel	prnp_qpcr	sc_malat1_rpm	sc_malat1_rel	malat1_qpcr
cyno_cerebellum_full	cyno	aCSF	13	cerebellum	f1	153.8657702638843	1.0161747369347154	1.0512850594300795			
cyno_cerebellum_full	cyno	aCSF	13	cerebellum	f2	195.89549378372024	1.2937513751172038	0.9196819520769878			
cyno_cerebellum_full	cyno	aCSF	13	cerebellum	m1	134.83692295696525	0.8905026405801042	1.0192787493306978			
cyno_cerebellum_full	cyno	aCSF	13	cerebellum	m2	121.06839639434214	0.7995712473679765	1.009754239162235			
cyno_cerebellum_full	cyno	ASO N	13	cerebellum	f3	78.68739135810925	0.5196746428804255	0.7849241533361673			
cyno_cerebellum_full	cyno	ASO N	13	cerebellum	f4	85.16126583678874	0.562430011303422	0.664282745584055			
cyno_cerebellum_full	cyno	ASO N	13	cerebellum	m3	95.92105068189318	0.63349079055079	0.944063418839966			
cyno_cerebellum_full	cyno	ASO N	13	cerebellum	m4	62.01610745799038	0.40957258767663945	0.7147266285879601			
cyno_cortex_full	cyno	aCSF	13	cortex	f1	131.35708693274213	0.8791737659741323	1.0119390567828606			
cyno_cortex_full	cyno	aCSF	13	cortex	f2	211.09690686008932	1.4128728561459512	1.0680891828514507			
cyno_cortex_full	cyno	aCSF	13	cortex	m1	124.02055710880735	0.8300703281231325	0.8815107956327866			
cyno_cortex_full	cyno	aCSF	13	cortex	m2	131.1642414124031	0.8778830497567841	1.0384609647329015			
cyno_cortex_full	cyno	ASO N	13	cortex	f3	65.72318623200795	0.439885677283628	0.4618691123743755			
cyno_cortex_full	cyno	ASO N	13	cortex	f4	37.659188535184235	0.25205317338500627	0.20816660361170816			
cyno_cortex_full	cyno	ASO N	13	cortex	m3	43.55459396939955	0.2915111571038238	0.31804452423068563			
cyno_cortex_full	cyno	ASO N	13	cortex	m4	35.83635113321983	0.23985291178614698	0.2243570336461314			
mouse_cerebellum_full	mouse	ASO 6	3	cerebellum	b41	91.29781877747439	0.5425117258675929	0.6264020673755909	77548.99859356624	0.7884812622747902	
mouse_cerebellum_full	mouse	ASO 6	3	cerebellum	b42	127.49142537763296	0.757582099343693	0.688147156466433	103634.03285433321	1.053701460000426	
mouse_cerebellum_full	mouse	ASO 6	3	cerebellum	b63	104.38433199034927	0.6202746665793535	0.6645355209669797	75586.73689860587	0.7685299204623096	
