aggr	species	treatment	weeks	region	animal_short	sc_prnp_rpm	sc_prnp_rel	prnp_qpcr	sc_malat1_rpm	sc_malat1_rel	malat1_qpcr
mouse_cerebellum_full	mouse	ASO 6	3	cerebellum	b65	56.58485177665287	0.33623963865046774	0.6097805896777926	44583.9015577079	0.45330786489708436	
mouse_cerebellum_full	mouse	ASO 6	12	cerebellum	c1_12wk	152.4371060644478	0.8035481104262551	0.8071817894592468	104337.97802623648	0.9606850672842162	
mouse_cerebellum_full	mouse	ASO 6	12	cerebellum	c2_12wk	152.88042170386353	0.8058849787490132	0.8346000889930503	99639.67043526989	0.9174257092869326	
mouse_cerebellum_full	mouse	ASO 6	12	cerebellum	c3_12wk	165.34618458502467	0.8715962774399227	0.7840184433118169	94185.5615626687	0.8672073607203852	
mouse_cerebellum_full	mouse	ASO 6	12	cerebellum	c4_12wk	173.25630805427528	0.9132932430348181	0.7691401457823868	104902.9056400899	0.9658866011167869	
mouse_cerebellum_full	mouse	Malat1 ASO	12	cerebellum	b1_12wk	308.9179922861169	1.6284123687918484	0.9556392749148764	48825.380805774614	0.44955648108091845	0.49721337536930343
mouse_cerebellum_full	mouse	Malat1 ASO	12	cerebellum	b2_12wk	229.21800939512215	1.208286506352637	1.1794754908550584	49138.99815864571	0.4524440922215973	0.5827099249737435
mouse_cerebellum_full	mouse	Malat1 ASO	12	cerebellum	b3_12wk	209.79389668149187	1.1058953663558875	1.0398041996399812	51771.858130948494	0.4766859771755649	0.5213683576229313
mouse_cerebellum_full	mouse	Malat1 ASO	12	cerebellum	b4_12wk	228.75991039980454	1.2058717099058978	0.9019826824355716	47671.4462456416	0.4389317045468724	0.4932486090629115
mouse_cerebellum_full	mouse	PBS	3	cerebellum	b02	192.92691434197408	1.146414171417174	1.0187851852213048	106533.97509320117	1.0831866907383545	
mouse_cerebellum_full	mouse	PBS	3	cerebellum	b21	168.87573966719452	1.0034967999325346	1.0501570783676475	104720.19785863232	1.0647450681599195	
mouse_cerebellum_full	mouse	PBS	3	cerebellum	b61	165.30194385877576	0.9822605189579666	1.0197474221352154	96445.40115972662	0.9806108786210526	
mouse_cerebellum_full	mouse	PBS	3	cerebellum	b62	146.0444931049341	0.8678285096923251	0.911310314275832	85709.8944652085	0.8714573624806731	
mouse_cerebellum_full	mouse	PBS	12	cerebellum	a1_12wk	192.2249565861753	1.0132834755881956	1.0280464648304664	115332.72390379284	1.061918466502448	1.0442572914430288
mouse_cerebellum_full	mouse	PBS	12	cerebellum	a2_12wk	179.33548278029315	0.9453386517293223	0.9646496673277868	120631.17176033906	1.1107035765060946	0.9686392733736772
mouse_cerebellum_full	mouse	PBS	12	cerebellum	a3_12wk	172.90386327637327	0.9114353860954911	0.9624959300460588	94213.11113188922	0.8674610215662337	1.0084345460420123
mouse_cerebellum_full	mouse	PBS	12	cerebellum	a4_12wk	214.35575597734507	1.1299424865869914	1.0448079377956878	104254.55284585828	0.9599169354252236	0.9786688891412816
mouse_cortex_full	mouse	ASO 1	2	cortex	b1_02wk	114.82383308610287	0.5740934910141046	0.5392689745935424	159664.54425473468	1.2382191965947256	
mouse_cortex_full	mouse	ASO 1	2	cortex	b2_02wk	90.14475316036102	0.4507036095862566	0.5832056995623338	100332.84759514865	0.7780942132219312	
mouse_cortex_full	mouse	ASO 1	2	cortex	b3_02wk	114.21587529614881	0.5710538380026761	0.4118579182762928	119216.60827635221	0.9245402203082764	
mouse_cortex_full	mouse	ASO 1	2	cortex	b4_02wk	49.02376471841867	0.24510786196056158	0.34813279251332563	100415.82247677284	0.7787376941634377	
mouse_cortex_full	mouse	ASO 1	12	cortex	b1_12wk	246.4310643593477	1.0866074135255246	0.9214272087542112	134232.05253630588	0.9477053433471748	0.7153829368916105
mouse_cortex_full	mouse	ASO 1	12	cortex	b2_12wk	112.17390554559555	0.4946170146480258	0.9420406181477714	35948.690036085696	0.25380499656976596	0.506491013538921
mouse_cortex_full	mouse	ASO 1	12	cortex	b3_12wk	172.71714889303732	0.7615749861652831	0.8694990505439965	117416.60822053094	0.8289849175792194	0.5951022788726408
mouse_cortex_full	mouse	ASO 1	12	cortex	b4_12wk	163.91642410076986	0.7227692746023489	0.9208506084672308	71351.75790097988	0.50375779064902	0.5264371663724967
mouse_cortex_full	mouse	ASO 6	2	cortex	c1_02wk	91.35451242138394	0.45675213539123033	0.26154287050349306	149470.11123808005	1.1591600496905654	
mouse_cortex_full	mouse	ASO 6	2	cortex	c2_02wk	65.6542894491843	0.3282567670569651	0.31851363803715443	95825.89555194146	0.7431422170597308	
mouse_cortex_full	mouse	ASO 6	2	cortex	c3_02wk	86.3899375410104	0.43193037105997556	0.3212477519732854	128007.24049818852	0.9927127104380572	
mouse_cortex_full	mouse	ASO 6	2	cortex	c4_02wk	104.6597900160119	0.5232755483266255	0.33173580730485663	81033.4909279105	0.6284252054979823	
mouse_cortex_full	mouse	ASO 6	3	cortex	b41	107.48286574024183	0.5746791372446749	0.5935084034566398	132130.365905137	1.240495311704675	
mouse_cortex_full	mouse	ASO 6	3	cortex	b42	106.5422594336205	0.5696499931382794	0.6205255959086606	107693.67218074987	1.011073378366286	
mouse_cortex_full	mouse	ASO 6	3	cortex	b63	135.62247586533755	0.7251333213392192	0.5323337112412951	108889.65950496875	1.0223018091542315	
mouse_cortex_full	mouse	ASO 6	3	cortex	b65	88.57896708671913	0.4736055745521628	0.6768560729005497	108119.53797358614	1.0150715851055914	
mouse_cortex_full	mouse	ASO 6	12	cortex	c1_12wk	146.67817074996708	0.6467593205167734	0.6926945661967971	140650.22779711173	0.9930189541746574	
mouse_cortex_full	mouse	ASO 6	12	cortex	c2_12wk	114.3056889932618	0.5040168510862085	0.7220417751523119	100840.1509270935	0.7119517883531882	
mouse_cortex_full	mouse	ASO 6	12	cortex	c3_12wk	141.9796815390424	0.6260419112801047	0.5664608988752118	123057.46800664028	0.8688105244991622	
mouse_cortex_full	mouse	ASO 6	12	cortex	c4_12wk	115.62572597957885	0.5098373915249269	0.6086521559862426	83591.7411197795	0.5901745389573179	
mouse_cortex_full	mouse	PBS	2	cortex	a1_02wk	245.6869003542541	1.228379566592601	1.1164642509182432	159279.84592032584	1.2352358112427273	
mouse_cortex_full	mouse	PBS	2	cortex	a2_02wk	142.87656093572662	0.7143508577193471	0.9122021988238788	102590.68881366601	0.7956040639698259	
mouse_cortex_full	mouse	PBS	2	cortex	a3_02wk	157.68803411971572	0.7884049118187416	1.0027486104185552	140802.241800438	1.0919396008341071	
mouse_cortex_full	mouse	PBS	2	cortex	a4_02wk	253.78428192178225	1.2688646638693102	0.9685849398393231	113114.8794600316	0.8772205239533397	
mouse_cortex_full	mouse	PBS	3	cortex	b01	170.06277052377857	0.9092754046792529	1.0332199159886537	85877.62187807592	0.8062551449875178	
mouse_cortex_full	mouse	PBS	3	cortex	b02	189.71768652962976	1.0143644353360726	1.0694779280757172	123744.01304947642	1.1617607125193745	
mouse_cortex_full	mouse	PBS	3	cortex	b12	206.07884211645333	1.1018427018691297	1.0879185880882292	104320.73473100353	0.9794068264391731	
mouse_cortex_full	mouse	PBS	3	cortex	b13	186.23703801187958	0.9957544357472383	1.0716944466110847	113707.04878306384	1.067529480879774	
mouse_cortex_full	mouse	PBS	3	cortex	b21	203.38758167518395	1.0874533271735651	0.8739768954061296	92531.36345390539	0.8687232625437565	
mouse_cortex_full	mouse	PBS	3	cortex	b61	166.89204474998337	0.8923224704643452	1.0005558722274657	112087.75555422711	1.0523268766571439	
mouse_cortex_full	mouse	PBS	3	cortex	b62	186.84167006083354	0.9989872247303967	0.8631563536027204	113330.86353867578	1.0639976959732604	
mouse_cortex_full	mouse	PBS	12	cortex	a1_12wk	246.44060329242856	1.0866494742755755	0.8703612361822236	150881.99354058315	1.0652572823812663	1.0105049418852703
mouse_cortex_full	mouse	PBS	12	cortex	a2_12wk	215.77723058557876	0.951443110607182	0.9241938830850304	143391.62293838747	1.0123737563588102	1.077323442572288
mouse_cortex_full	mouse	PBS	12	cortex	a3_12wk	220.28804525043813	0.9713329920578764	0.9571435078325764	137211.44455692917	0.9687404514641943	1.0641647682357953
mouse_cortex_full	mouse	PBS	12	cortex	a4_12wk	224.6517982144544	0.990574423059366	1.2483013729001693	135071.00400522503	0.9536285097957292	0.8480068473066467
mouse_thalamus_full	mouse	ASO 6	3	thalamus	b42	230.88120080549706	0.6659362962640625	0.3838550633866087	124975.46976616707	1.1308126294735397	
mouse_thalamus_full	mouse	ASO 6	3	thalamus	b63	147.2177203622448	0.42462367269590867	0.39017403407018847	101858.41081842293	0.9216430839354904	
mouse_thalamus_full	mouse	ASO 6	3	thalamus	b65	99.30172184128408	0.28641838584050894	0.39449622214190594	38513.537423026646	0.3484811427806329	
mouse_thalamus_full	mouse	PBS	3	thalamus	b02	407.57925872824404	1.175590827856941	0.98994402742938	86293.22428978159	0.78080496954687	
mouse_thalamus_full	mouse	PBS	3	thalamus	b21	381.6175880128836	1.100708945829746	0.8805733774333298	118674.27933056394	1.0737977149576763	
mouse_thalamus_full	mouse	PBS	3	thalamus	b61	346.49331989969846	0.9993991599542582	1.085923032579012	117773.65829997008	1.0656486466831538	
mouse_thalamus_full	mouse	PBS	3	thalamus	b62	251.1163618559847	0.7243010663590547	1.043559562558278	119331.96853048439	1.0797486688123	
