subtype	n_this_study	n_kozareva2021	color
astrocyte	4322	16717	#7fcdbb
Bergmann glia	6945	17498	#c7e9b4
endothelial stalk	1410	6142	#df65b0
fibroblast	1561	5333	#e7298a
Golgi	1130	3989	#fc4e2a
granule	110998	477176	#fed976
microglia	480	1296	#60affe
MLI	7453	23971	#fd8d3c
oligodendrocyte	3953	13363	#5eb9bd
OPC	497	2121	#1d91c0
pericyte	421	2271	#ce1256
PLI	559	2443	#e31a1c
Purkinje	2505	16634	#feb24c
UBC	406	1613	#bd0026
