assignments	count
granule	477176
Purkinje	16634
MLI	23971
Golgi	3989
PLI	2443
UBC	1613
Bergmann glia	17498
astrocyte	16717
oligodendrocyte	13363
OPC	2121
microglia	1296
endothelial stalk	6142
fibroblast	5333
pericyte	2271
