tx	color	disp	txc
pbs0	#A9A9A9	PBS	_ctl
acsf	#A9A9A9	aCSF	_ctl
aso1	#0909FF	ASO 1	aso1
aso6	#41B6C4	ASO 6	aso6
aso7	#FF6600	ASO N	aso7
asom	#FF00FF	Malat1 ASO	asom
